409664122 K.TEJA 6/24/2022 18 WARANGAL A11Q12 9989481891.000000 Current 1000.000000 6/24/2022
409664722 S.ASLAMPASHA 6/24/2022 18 WARANGAL A11Q21 9989481892.000000 Saving 3000.000000 6/24/2022
409664761 s.KUSHI 6/24/2022 18 WARANGAL A11Q22 9989481893.000000 Current 1000.000000 6/24/20220
409664723 HARSHAVARDHAN 12/12/2003 18 BUPALPALLY A11E1 9989789981.000000 Current 0.000000 6/24/20220
409664724 PRAMOD 12/12/1983 48 WARANGAL A11W1 8890987865.000000 Saving 2000.000000 6/25/2022
409664729 A.GRUHAN 19/5/2003 19 WARANGAL A11R23 9989789981.000000 Current 1000.000000 6/25/2022
409664720 RAMU 12/12/2003 18 HNK A11W1 1234567891.000000 Current 0.000000 6/25/2022
409664722 ASLAM 11/19/2002 19 ELKATURTHY A11W1 9989789876.000000 Saving 2500.000000 7/3/2022
12345678 SURAJ 9232003/19/2002 19 HNK 213378929168 9989481861.000000 Saving 2000.000000 7/3/2022
123456789 SURAJ 9232003/19/2002 19 NGL 12321 99999999.000000 Saving 2000.000000 7/3/2022
